timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979601.064,200.122.21.248,20,176.97.127.61,2624,0,0
977979601.065,200.122.21.248,20,176.97.127.61,2624,0,0
977979601.065,200.122.21.248,20,176.97.127.61,2624,0,0
977979601.065,201.14.184.37,80,180.195.89.92,41225,0,0
977979601.066,207.81.50.26,8888,170.117.142.248,4035,0,0
977979601.066,219.135.118.178,25,144.222.106.192,1296,0,0
977979601.066,201.14.184.37,80,180.195.89.92,41225,0,0
977979601.067,176.97.154.167,3904,83.110.4.36,6346,0,0
977979601.067,149.75.106.51,1443,173.170.180.2,80,0,0
977979601.067,107.28.242.0,80,170.117.73.22,3123,0,0
977979601.068,107.28.242.0,80,170.117.73.22,3123,0,0
977979601.068,170.117.87.27,49173,88.196.149.227,80,0,0
977979601.069,212.110.186.127,45478,176.97.154.167,6346,0,0
977979601.069,176.97.127.61,2624,200.122.21.248,20,0,0
977979601.071,176.97.127.61,2624,200.122.21.248,20,0,0
977979601.071,71.251.142.191,5543,180.195.49.164,58135,4,16
977979601.072,170.117.2.76,2167,209.97.63.195,6699,0,0
977979601.072,170.117.2.76,2167,209.97.63.195,6699,0,0
977979601.072,209.164.120.224,27653,176.97.154.167,6346,4,18
977979601.072,176.97.154.167,6346,212.110.186.127,45478,0,0
977979601.073,180.195.89.92,41225,201.14.184.37,80,0,0
977979601.073,180.195.89.92,41225,201.14.184.37,80,0,0
977979601.074,83.161.51.234,6688,149.75.11.49,1815,0,0
977979601.074,197.73.41.93,6346,176.97.154.167,4011,0,0
977979601.074,219.134.155.214,1252,149.75.80.13,3343,0,0
977979601.074,186.89.168.224,6346,176.97.154.167,4140,0,0
977979601.075,201.127.73.14,6346,176.97.154.167,4384,0,0
977979601.076,176.97.154.167,6346,209.164.120.224,27653,0,0
977979601.078,180.195.6.223,2245,83.9.231.87,25,0,0
977979601.078,176.97.154.167,4140,186.89.168.224,6346,0,0
977979601.078,176.97.154.167,4011,197.73.41.93,6346,0,0
977979601.079,176.97.154.167,4384,201.127.73.14,6346,0,0
977979601.08,206.133.253.40,56775,200.13.134.202,3890,0,0
977979601.081,71.241.245.22,80,149.75.106.51,1201,0,0
977979601.081,180.195.49.164,58135,71.251.142.191,5543,0,0
977979601.082,209.112.194.25,6346,176.97.154.167,3875,0,0
977979601.084,207.157.168.93,1051,200.122.16.160,80,0,0
977979601.086,192.189.63.182,6346,176.97.154.167,3978,0,0
977979601.086,176.97.154.167,3875,209.112.194.25,6346,0,0
977979601.088,170.117.73.22,3123,107.28.242.0,80,0,0
977979601.089,149.75.11.246,1093,200.122.79.213,80,0,0
977979601.089,176.97.235.164,53,207.134.170.156,40865,0,0
977979601.09,207.62.157.58,53,188.64.112.139,53,0,0
977979601.09,202.172.237.51,3128,144.222.107.36,4839,0,0
977979601.09,146.29.218.78,1128,170.117.77.112,59681,0,0
977979601.09,107.70.52.97,21034,176.97.154.167,6346,0,0
977979601.091,207.157.168.93,1051,200.122.16.160,80,0,0
977979601.091,202.172.237.51,3128,144.222.107.36,4839,0,0
977979601.091,202.172.237.51,3128,144.222.107.36,4987,0,0
